"AnoYear","BanderaFlag","ArteGear","EspeciesSpecies","t"
1964,"MEX","PS","CGX",41.00
1964,"MEX","PS","PBF",131.00
1964,"MEX","PS","SKJ",1073.00
1964,"MEX","PS","YFT",1648.00
1964,"OTR","LP","SKJ",359.00
1964,"OTR","LP","YFT",351.00
1964,"OTR","PS","SKJ",331.00
1964,"OTR","PS","YFT",241.00
1964,"PAN","PS","SKJ",433.00
1964,"PAN","PS","YFT",827.00
1964,"PER","PS","SKJ",1656.00
1964,"PER","PS","YFT",3177.00
1964,"PER","UNK","SWO",900.00
1964,"TWN","LL","ALB",35.00
1964,"TWN","LL","BET",11.00
1964,"TWN","LL","BLM",0.00
1964,"TWN","LL","BUM",2.00
1964,"TWN","LL","MLS",0.00
1964,"TWN","LL","YFT",6.00
1964,"UNK","LP","BZX",9.00
1964,"UNK","LP","CGX",184.00
1964,"USA","HAR","SWO",120.00
1964,"USA","LP","ALB",3185.00
1964,"USA","LP","BET",127.00
1964,"USA","LP","PBF",39.00
1964,"USA","LP","SKJ",4287.00
1964,"USA","LP","YFT",3487.00
1964,"USA","LTL","ALB",18388.00
1964,"USA","PS","ALB",146.00
1964,"USA","PS","BKJ",5.00
1964,"USA","PS","BZX",6557.00
1964,"USA","PS","PBF",9047.00
1964,"USA","PS","SKJ",48266.00
1964,"USA","PS","YFT",72425.00
1964,"USA","RG","ALB",824.00
1965,"CHL","HAR","SWO",151.00
1965,"CHL","PS","BZX",252.00
1965,"CHL","PS","SKJ",143.00
1965,"CHL","PS","YFT",72.00
1965,"CHL","UNK","BZX",11071.00
1965,"COL","UNK","SKJ",228.00
1965,"COL","UNK","YFT",173.00
1965,"ECU","LP","SKJ",12857.00
1965,"ECU","LP","YFT",416.00
1965,"ECU","PS","SKJ",1487.00
1965,"ECU","PS","YFT",78.00
1965,"ECU","UNK","SKJ",560.00
1965,"ECU","UNK","YFT",121.00
1965,"JPN","LL","ALB",4247.00
1965,"JPN","LL","BET",29160.00
1965,"JPN","LL","BLM",548.00
1965,"JPN","LL","BUM",4560.00
1965,"JPN","LL","MLS",9931.00
1965,"JPN","LL","PBF",14.00
1965,"JPN","LL","SKJ",252.00
1965,"JPN","LL","SWO",1682.00
1965,"JPN","LL","YFT",15614.00
1965,"MEX","PS","BZX",40.00
1965,"MEX","PS","PBF",289.00
1965,"MEX","PS","SKJ",1708.00
1965,"MEX","PS","YFT",1320.00
1965,"OTR","LP","SKJ",141.00
1965,"OTR","LP","YFT",516.00
1965,"PER","PS","SKJ",1003.00
1965,"PER","PS","YFT",1469.00
1965,"PER","UNK","SWO",300.00
1965,"TWN","LL","ALB",11.00
1965,"TWN","LL","BET",4.00
1965,"TWN","LL","BLM",0.00
1965,"TWN","LL","BUM",1.00
1965,"TWN","LL","MLS",0.00
1965,"TWN","LL","YFT",6.00
1965,"UNK","LP","BZX",25.00
1965,"UNK","LP","CGX",155.00
1965,"UNK","PS","SKJ",1112.00
1965,"UNK","PS","YFT",382.00
